survey_id,sector_desc,class_desc,group_desc,commodity_desc,marketing_id
40,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKY2019
41,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARKY2018
42,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARLA2020
43,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARLA2019
44,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARLA2018
45,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARME2020
46,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARME2019
47,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARME2018
48,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMI2020
49,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMI2019
50,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMI2018
51,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMN2020
52,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMN2019
53,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMN2018
54,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMS2020
55,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMS2019
56,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMS2018
57,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMO2020
58,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMO2019
59,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMO2018
60,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMT2020
61,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMT2019
62,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARMT2018
63,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNE2020
64,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNE2019
65,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNE2018
66,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNJ2020
67,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNJ2019
68,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNJ2018
69,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNY2020
70,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNY2019
71,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNY2018
72,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNC2020
73,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNC2019
74,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARNC2018
75,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARND2020
76,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARND2019
77,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARND2018
78,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROH2020
79,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROH2019
80,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROH2018
81,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROR2020
82,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROR2019
83,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROR2018
84,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARPA2020
85,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARPA2019
86,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARPA2018
87,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSC2020
88,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSC2019
89,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSC2018
90,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSD2020
91,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSD2019
92,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARSD2018
93,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTN2020
94,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTN2019
95,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTN2018
96,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTX2020
97,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTX2019
98,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARTX2018
99,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARUT2020
100,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARUT2019
101,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARUT2018
102,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVT2020
103,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVT2019
104,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVT2018
105,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVA2020
106,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVA2019
107,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARVA2018
108,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWA2020
109,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWA2019
110,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWA2018
111,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWV2020
112,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWV2019
113,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWV2018
114,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWI2020
115,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWI2019
116,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWI2018
117,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWY2020
118,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWY2019
119,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARWY2018
120,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROT2020
121,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROT2019
122,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEAROT2018
123,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2017
124,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2016
125,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2015
126,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2014
127,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2013
128,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2012
129,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2011
130,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2010
131,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2009
132,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2008
133,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2007
134,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2006
135,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2005
136,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2004
137,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2003
138,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2002
139,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2001
140,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL2000
141,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1999
142,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1998
143,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1997
144,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1996
145,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1995
146,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1994
147,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1993
148,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1992
149,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1991
150,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1990
151,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1989
152,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1988
153,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAL1987
154,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2017
155,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2016
156,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2015
157,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2014
158,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2013
159,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2012
160,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2011
161,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2010
162,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2009
163,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2008
164,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2007
165,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2006
166,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2005
167,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2004
168,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2003
169,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2002
170,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2001
171,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ2000
172,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1999
173,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1998
174,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1997
175,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1996
176,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1995
177,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1994
178,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1993
179,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1992
180,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1991
181,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1990
182,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1989
183,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1988
184,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAZ1987
185,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2017
186,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2016
187,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2015
188,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2014
189,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2013
190,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2012
191,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2011
192,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2010
193,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2009
194,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2008
195,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2007
196,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2006
197,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2005
198,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2004
199,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2003
200,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2002
201,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2001
202,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR2000
203,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1999
204,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1998
205,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1997
206,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1996
207,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1995
208,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1994
209,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1993
210,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1992
211,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1991
212,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1990
213,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1989
214,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1988
215,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARAR1987
216,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2017
217,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2016
218,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2015
219,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2014
220,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2013
221,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2012
222,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2011
223,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2010
224,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2009
225,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2008
226,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2007
227,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2006
228,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2005
229,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2004
230,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2003
231,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2002
232,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2001
233,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA2000
234,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1999
235,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1998
236,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1997
237,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1996
238,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1995
239,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1994
240,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1993
241,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1992
242,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1991
243,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1990
244,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1989
245,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1988
246,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCA1987
247,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2017
248,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2016
249,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2015
250,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2014
251,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2013
252,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2012
253,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2011
254,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2010
255,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2009
256,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2008
257,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2007
258,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2006
259,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2005
260,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2004
261,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2003
262,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2002
263,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2001
264,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO2000
265,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO1999
266,ANIMALS & PRODUCTS,ALL CLASSES,SPECIALTY,HONEY,MARKETING YEARCO1998
