Value,domain_desc,unit_desc,short_desc,statisticcat_desc,survey_id
19.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51319
53.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51519
47.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51619
21.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51318
30.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51418
29.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51518
82.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51618
31.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51317
19.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51417
61.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51517
37.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51617
57.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51316
84.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51416
80.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51516
21.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51616
17.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51315
65.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51415
69.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51515
38.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,51615
22.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61320
33.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61420
43.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61319
49.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61519
40.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61619
41.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61318
41.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61418
57.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61518
44.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61618
37.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61317
38.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61417
42.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61517
47.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61617
38.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61316
49.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61416
42.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61516
41.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61616
24.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61315
50.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61415
39.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61515
37.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,61615
20.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81320
35.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81420
11.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81319
79.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81519
67.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81619
31.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81318
41.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81418
72.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81518
73.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81618
17.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81317
31.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81417
52.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81517
30.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81617
2.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81316
38.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81416
49.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81516
32.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81616
14.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81315
38.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81415
50.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81515
47.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,81615
11.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91320
14.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91420
10.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91319
24.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91519
22.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91619
14.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91318
11.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91418
13.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91518
12.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91618
51.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91317
9.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91417
25.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91517
36.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91617
12.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91316
9.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91416
18.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91516
14.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91616
2.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91315
10.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91415
39.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91515
10.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,91615
28.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121320
31.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121420
46.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121319
44.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121519
43.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121619
31.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121318
45.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121418
35.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121518
46.70,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121618
37.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121317
36.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121417
42.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121517
41.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121617
23.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121316
48.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121416
45.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121516
30.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121616
22.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121315
44.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121415
39.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121515
27.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,121615
50.90,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131320
49.20,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131420
69.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131319
52.50,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131519
34.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131619
39.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131318
53.00,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131418
49.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131518
41.40,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131618
35.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131317
34.10,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131417
47.60,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131517
56.80,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131617
32.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131316
59.30,TOTAL,PCT OF COLONIES,HONEY  BEE COLONIES  AFFECTED BY VARROA MITES - INVENTORY  MEASURED IN PCT OF COLONIES,INVENTORY,131416
